migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.0,1.0,2.0,5,0.12,2.0458081097509826,2.4924664951646336,-0.446658385413651
0.0,0.1,2.0,4,0.01,2.5223824674578315,2.5004548690526187,0.021927598405212745
0.0,0.0,1.0,10,0.12,2.5896171415228673,2.593162840790409,-0.0035456992675415577
0.0,1.0,0.1,10,0.01,2.2573213076992307,2.419795659834239,-0.16247435213500827
0.0,0.0,0.5,9,0.5,2.5607607089733397,2.5615098445354803,-0.0007491355621405127
0.0,0.1,1.0,4,0.01,2.6673729424824986,2.6107495354839596,0.05662340699853896
0.0,0.1,5.0,5,0.01,2.588660601352245,2.522839110841558,0.06582149051068686
0.0,1.0,0.1,6,0.5,0.06578451628221693,0.06830123113856074,-0.0025167148563438047
0.0,5.0,0.1,1,0.5,0.06651733525566754,0.06622794802036504,0.00028938723530250177
0.0,0.0,0.5,4,0.5,2.562949862006279,2.5849033177158325,-0.021953455709553538
0.0,2.0,5.0,5,0.5,2.504685114715595,2.2080192421724134,0.29666587254318166
0.0,1.0,0.0,2,0.01,2.449102467729633,2.283209722943377,0.16589274478625615
0.0,2.0,0.0,9,0.5,0.06757686685868419,0.09340032490641523,-0.025823458047731035
0.0,1.0,2.0,9,0.01,2.1144072804213163,2.2593847794105884,-0.14497749898927204
0.0,2.0,0.0,2,0.12,2.2427424170828703,2.196351830091421,0.04639058699144938
0.0,0.5,0.0,2,0.5,0.06710805273903107,0.06815648746333786,-0.001048434724306782
0.0,1.0,0.5,6,0.01,2.502787198317192,2.3274201520347604,0.17536704628243172
0.0,0.5,5.0,6,0.12,2.282436287980528,2.489650113099571,-0.20721382511904318
0.0,2.0,2.0,9,0.12,2.2981685998898134,2.4420673814343967,-0.14389878154458335
0.0,0.1,2.0,8,0.5,2.155799114828503,1.8765502699754018,0.2792488448531014
0.0,0.5,0.1,6,0.01,2.457366746613554,2.369162446380415,0.08820430023313897
0.0,0.1,0.1,5,0.5,0.06775700847110208,0.06715435542155604,0.0006026530495460425
0.0,0.0,0.5,7,0.01,2.5871583436260326,2.5916099821994805,-0.00445163857344788
0.0,0.0,0.5,9,0.12,2.5918841149225615,2.5915835416747237,0.000300573247837832
0.0,0.0,0.1,8,0.5,2.4901569500879206,2.525668622590478,-0.03551167250255727
0.0,0.0,1.0,5,0.01,2.5901990892131947,2.5888126211302778,0.0013864680829169806
0.0,1.0,1.0,4,0.01,2.2117159333051593,2.2758291437978073,-0.06411321049264807
0.0,0.5,0.1,1,0.01,2.5164100921606916,2.35949135241629,0.1569187397444014
0.0,1.0,0.0,9,0.01,2.386079437639573,2.320370461089765,0.06570897654980801
0.0,5.0,2.0,8,0.5,2.082687196178967,2.372869198411987,-0.29018200223302015
0.0,0.0,0.5,4,0.12,2.589888583776808,2.5922003429755787,-0.002311759198770691
0.0,0.1,2.0,10,0.5,2.0382816161834456,1.6236334291641596,0.41464818701928596
